Amplitude,10,20,30,40
0.01,0.8999999999999999,1.3,1.4000000000000001,1.3
0.03,2.1,2.4,2.1,1.7000000000000002
0.05,3.3000000000000003,3.8000000000000003,3.3000000000000003,2.5
0.07,5.699999999999999,5.8999999999999995,6.7,5.300000000000001
0.09,8.0,8.2,8.7,8.0
0.11,10.5,10.4,8.799999999999999,9.299999999999999
0.13,10.799999999999999,10.500000000000002,10.9,10.1
0.15,12.4,11.900000000000002,12.5,10.0
0.17,12.500000000000002,13.100000000000001,12.1,11.299999999999999
0.19,14.5,13.8,14.7,12.200000000000001
